                       1    24946.4    0.188    0.068    0.330     1    1
                       2    11474.4    0.072    0.038    0.540     1    1
                       3    26131.2    0.096    0.085    0.120     1    1
                       4    44608.0    0.105    0.129    0.180     1    1
                       5     6261.8    0.082    0.111    0.090     1    1
                       6    10589.2    0.174    0.074    0.330     1    1
                       7     3383.2    0.049    0.138    0.200     1    1
                       8    65434.8    0.104    0.076    0.100     1    1
                       9    24949.2    0.230    0.049    0.210     2    1
                      10     5217.6    0.142    0.081    0.120     2    1
                      11     3468.4    0.307    0.066    0.220     2    1
                      12    28570.8    0.179    0.064    0.790     2    1
                      13     3184.2    0.190    0.071    0.170     2    1
                      14     4446.2    0.377    0.089    0.180     3    1
                      15    54460.8    0.407    0.024    0.180     2    1
                      16     3290.4    0.236    0.051    0.250     2    1
                      17     4742.6    0.243    0.083    0.220     2    1
                      18    31468.0    0.247    0.045    0.270     1    1
                      19     2869.4    0.299    0.062    0.390     2    1
                      20    12376.2    0.229    0.039    0.140     2    1
                      21     3017.2    0.267    0.071    0.430     2    1
                      22     9647.6    0.216    0.048    0.540     2    1
                      23     1651.2    0.081    0.107    0.150     2    1
                      24     2909.2    0.230    0.065    0.140     2    1
                      25     1383.0    0.098    0.063    0.290     3    1
                      26     2392.6    0.173    0.101    0.180     2    1
                      27    55132.8    0.149    0.059    0.043     2    1
                      28     3567.2    0.038    0.097    0.112     2    1
                      29     2509.6    0.271    0.043    0.560     3    1
                      30     2285.0    0.230    0.057    0.330     4    1
                      31     1964.6    0.220    0.044    0.630     3    1
                      32      913.4    0.225    0.087    0.210     2    1
                      33     3863.0    0.159    0.057    0.540     3    1
                      34     7805.6    0.325    0.056    0.076     2    1
                      35     1724.8    0.158    0.085    0.170     2    1
                      36    12690.0    0.285    0.076    0.120     1    1
                      37     1714.6    0.267    0.054    0.320     3    1
                      38     6078.2    0.268    0.034    0.240     3    1
                      39    21785.6    0.339    0.048    0.550     3    1
                      40     2849.4    0.231    0.066    0.240     2    1
                      41    11855.8    0.358    0.033    0.660     2    1
                      42     3502.2    0.055    0.072    0.810     3    1
                      43     2650.6    0.261    0.076    0.260     2    1
                      44     1861.8    0.271    0.045    0.320     3    1
                      45     4636.2    0.368    0.048    0.250     3    1
                      46     4815.8    0.208    0.048    0.490     3    1
                      47     5113.0    0.507    0.048    0.250     3    1
                      48    13721.6    0.289    0.029    0.400     4    1
                      49     3344.4    0.428    0.050    0.340     4    1
                      50      550.0    0.131    0.116    0.230     3    1
                      51      809.4    0.199    0.080    0.280     3    1
                      52     9385.4    0.214    0.044    0.140     3    1
                      53     6344.2    0.294    0.020    1.050     4    1
                     54     1153.2    0.310     0.050     0.210     4    1
                     55     3162.8    0.268     0.062     0.180     2    1
                     56     2257.0    0.237     0.053     0.470     3    1
                     57      638.4    0.279     0.056     0.550     4    1
                     58      923.6    0.356     0.049     0.270     4    1
                     59     6173.0    0.222     0.031     0.420     4    1
